Symbol,Ensembl Gene ID,Entrez,Type,Species,Chr,Position (Mbp),Description,percentage_gc_content,transcript_count,genomeSpan,cds_length,transcript_length,FiveUTR,ThreeUTR,nExons
 WWP1P1,ENSG00000244153,NA,processed_pseudogene,Human,3,98.657802,WW domain containing E3 ubiquitin protein ligase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48944],39.98,1,2769,NA,2769,NA,NA,1
 ,ENSG00000250796,NA,processed_pseudogene,Human,3,128.869624,cell death-inducing DFFA-like effector c (CIDEC) pseudogene,53.6,1,403,NA,329,NA,NA,2
 ,ENSG00000274154,NA,processed_pseudogene,Human,4,83.369416,ribosomal protein S23 (RPS23) pseudogene,53.7,1,108,NA,108,NA,NA,1
 ANP32C,ENSG00000248546,NA,processed_pseudogene,Human,4,164.197007,acidic nuclear phosphoprotein 32 family member C [Source:HGNC Symbol;Acc:HGNC:16675],48.37,1,705,NA,705,NA,NA,1
 RPSAP70,ENSG00000250327,NA,processed_pseudogene,Human,4,186.157896,ribosomal protein SA pseudogene 70 [Source:HGNC Symbol;Acc:HGNC:51923],61.18,1,948,NA,864,NA,NA,2
 LTO1P1,ENSG00000251008,NA,processed_pseudogene,Human,4,186.170863,LTO1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39203],51.39,1,395,NA,395,NA,NA,1
 ISCA1P1,ENSG00000217416,NA,processed_pseudogene,Human,5,62.776877,iron-sulfur cluster assembly 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33263],43.41,1,387,NA,387,NA,NA,1
 ,ENSG00000234115,NA,processed_pseudogene,Human,6,7.5166,"isocitrate dehydrogenase 1 (NADP+), soluble (IDH1) pseudogene",44.16,1,1241,NA,1241,NA,NA,1
 ,ENSG00000219273,NA,processed_pseudogene,Human,6,38.762905,zuotin related factor-1 (ZRF1) pseudogene,39.61,1,1790,NA,1790,NA,NA,1
 FTH1P15,ENSG00000218980,NA,processed_pseudogene,Human,6,57.00452,ferritin heavy chain 1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:3985],49.64,1,280,NA,280,NA,NA,1
 ,ENSG00000271111,NA,processed_pseudogene,Human,6,67.456346,SH3-domain binding protein 4 (SH3BP4) pseudogene,40.66,1,905,NA,905,NA,NA,1
 LYPLA1P3,ENSG00000218350,NA,processed_pseudogene,Human,6,71.165076,LYPLA1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44007],44.75,1,695,NA,695,NA,NA,1
 YWHAZP4,ENSG00000213131,NA,processed_pseudogene,Human,6,127.355756,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:30851],46.71,1,1034,NA,708,NA,NA,2
 RWDD4P2,ENSG00000175741,NA,processed_pseudogene,Human,7,39.854494,RWD domain containing 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23754],40.5,1,563,NA,563,NA,NA,1
 ,ENSG00000236386,NA,processed_pseudogene,Human,7,131.893822,"capping protein (actin filament) muscle Z-line, alpha 1 (CAPZA1) pseudogene",43.08,1,253,NA,253,NA,NA,1
 TRPC6P8,ENSG00000236503,NA,processed_pseudogene,Human,7,136.262558,TRPC6 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:55949],40.43,1,460,NA,460,NA,NA,1
 SINHCAFP3,ENSG00000253488,NA,processed_pseudogene,Human,8,23.634876,SINHCAF pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:19896],39.24,1,632,NA,632,NA,NA,1
 ,ENSG00000253667,NA,processed_pseudogene,Human,8,53.971231,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae) (ESF1) pseudogene",39.03,1,2980,NA,2479,NA,NA,3
 SNRPEP2,ENSG00000256968,NA,processed_pseudogene,Human,9,6.748703,SNRPE pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20733],40.86,1,279,NA,279,NA,NA,1
 SNX18P7,ENSG00000234373,NA,processed_pseudogene,Human,9,33.57638,sorting nexin 18 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39615],50.24,1,635,NA,635,NA,NA,1
 ,ENSG00000228095,NA,processed_pseudogene,Human,9,84.604111,novel pseudogene,38.41,1,315,NA,315,NA,NA,1
 YWHAZP3,ENSG00000229932,NA,processed_pseudogene,Human,10,23.136924,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31101],44.17,1,738,NA,738,NA,NA,1
 VN1R53P,ENSG00000236313,NA,processed_pseudogene,Human,10,37.348616,vomeronasal 1 receptor 53 pseudogene [Source:HGNC Symbol;Acc:HGNC:37373],41.07,1,957,NA,957,NA,NA,1
 RPL22P17,ENSG00000235266,NA,processed_pseudogene,Human,10,102.887874,ribosomal protein L22 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:36985],35.56,1,315,NA,315,NA,NA,1
 YWHAZP5,ENSG00000213260,NA,processed_pseudogene,Human,10,105.686322,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:30564],42.33,1,730,NA,730,NA,NA,1
 ,ENSG00000255381,NA,processed_pseudogene,Human,11,59.142121,"protein kinase, cAMP-dependent, regulatory, type II, beta (PRKAR2B) pseudogene",43.88,1,490,NA,490,NA,NA,1
 ,ENSG00000256663,NA,processed_pseudogene,Human,12,20.55159,ubiquitin-like with PHD and ring finger domains 1 (UHRF1) pseudogene,62.26,1,1423,NA,1423,NA,NA,1
 ,ENSG00000257159,NA,processed_pseudogene,Human,12,57.967058,zinc finger protein pseudogene,34.5,1,1342,NA,633,NA,NA,2
 ,ENSG00000186076,NA,processed_pseudogene,Human,12,93.640822,phosphoglycerate mutase 1 (brain) (PGAM1) pseudogene,56.08,1,765,NA,765,NA,NA,1
 SRGNP1,ENSG00000271386,NA,processed_pseudogene,Human,13,78.285838,serglycin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49107],41.24,1,451,NA,451,NA,NA,1
 DPPA3P3,ENSG00000270415,NA,processed_pseudogene,Human,13,81.114866,developmental pluripotency associated 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49062],36.98,1,430,NA,430,NA,NA,1
 ,ENSG00000257175,NA,processed_pseudogene,Human,14,18.634955,ubiquitin specific peptidase 10 (USP10) pseudogene,49.29,1,2254,NA,2254,NA,NA,1
 ,ENSG00000257731,NA,processed_pseudogene,Human,14,18.645044,single stranded DNA binding protein 3 (SSBP3) pseudogene,53.23,1,1178,NA,1178,NA,NA,1
 ,ENSG00000257558,NA,processed_pseudogene,Human,14,18.667249,chromosome 10open reading frame 57 (C10orf57) pseudogene,45.08,1,122,NA,122,NA,NA,1
 ,ENSG00000274649,NA,processed_pseudogene,Human,14,19.511244,NIMA-related kinase 2 (NEK2) pseudogene,43.92,1,469,NA,469,NA,NA,1
 ,ENSG00000257432,NA,processed_pseudogene,Human,14,19.629006,NIMA-related kinase 2 (NEK2) pseudogene,43.07,1,1335,NA,1335,NA,NA,1
 ,ENSG00000279392,NA,processed_pseudogene,Human,14,55.229217,ubiquitin-conjugating enzyme E2L 3 (UBE2L3) pseudogene,45.38,1,465,NA,465,NA,NA,1
 RAP1AP,ENSG00000258769,NA,processed_pseudogene,Human,14,74.482985,"RAP1A, member of RAS oncogene family pseudogene [Source:HGNC Symbol;Acc:HGNC:9856]",40.35,1,451,NA,451,NA,NA,1
 ELK2AP,ENSG00000213140,NA,processed_pseudogene,Human,14,105.672308,"ETS transcription factor ELK2A, pseudogene [Source:HGNC Symbol;Acc:HGNC:3323]",68.22,1,1007,NA,1007,NA,NA,1
 ,ENSG00000259340,NA,processed_pseudogene,Human,15,96.551381,CDC28 protein kinase regulatory subunit 2 (CKS2) pseudogene,42.34,1,137,NA,137,NA,NA,1
 CYCSP39,ENSG00000260690,NA,processed_pseudogene,Human,16,25.454339,CYCS pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:24412],44.98,1,309,NA,309,NA,NA,1
 HMGN2P41,ENSG00000261620,NA,processed_pseudogene,Human,16,35.802869,high mobility group nucleosomal binding domain 2 pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:39412],52.67,1,412,NA,412,NA,NA,1
 RPL7AP64,ENSG00000213876,NA,processed_pseudogene,Human,17,7.14093,ribosomal protein L7a pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:35821],52.79,1,663,NA,663,NA,NA,1
 ,ENSG00000266048,NA,processed_pseudogene,Human,17,39.033926,ADP-ribosylation factor-like 17B (ARL17B) pseudogene,43.59,1,117,NA,117,NA,NA,1
 RHOT1P1,ENSG00000266145,NA,processed_pseudogene,Human,18,14.222008,ras homolog family member T1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23777],41.98,1,324,NA,324,NA,NA,1
 TERF1P2,ENSG00000187589,NA,processed_pseudogene,Human,18,14.377546,TERF1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38110],42,1,1212,NA,1212,NA,NA,1
 FEM1AP2,ENSG00000265296,NA,processed_pseudogene,Human,18,14.391913,fem-1 homolog A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39830],63.45,1,1997,NA,1997,NA,NA,1
 PCGF7P,ENSG00000268140,NA,processed_pseudogene,Human,19,22.137931,polycomb group ring finger 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:30341],49.19,1,1051,NA,1051,NA,NA,1
 PPIAP58,ENSG00000267258,NA,processed_pseudogene,Human,19,29.921182,peptidylprolyl isomerase A pseudogene 58 [Source:HGNC Symbol;Acc:HGNC:53682],47.46,1,472,NA,472,NA,NA,1
 FEM1AP1,ENSG00000229231,NA,processed_pseudogene,Human,21,13.762338,fem-1 homolog A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17219],63.66,1,1995,NA,1995,NA,NA,1
 ,ENSG00000215268,NA,processed_pseudogene,Human,22,15.562017,ubiquitin specific peptidase 10 (USP10) pseudogene,49.65,1,2260,NA,2260,NA,NA,1
 ,ENSG00000213727,NA,processed_pseudogene,Human,22,15.572089,single stranded DNA binding protein 3 (SSBP3) pseudogene,53.44,1,1177,NA,1177,NA,NA,1
 NEK2P2,ENSG00000231565,NA,processed_pseudogene,Human,22,15.611759,NEK2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37816],43.5,1,1338,NA,1338,NA,NA,1
 CDRT15P10,ENSG00000273693,NA,processed_pseudogene,Human,Y,11.085476,CDRT15 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:38413],60.41,1,586,NA,586,NA,NA,1
 TOMM22P1,ENSG00000237427,NA,processed_pseudogene,Human,Y,21.13087,TOMM22 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38736],44.55,1,312,NA,312,NA,NA,1
 ,ENSG00000233619,NA,processed_pseudogene,Human,Y,25.487284,novel pseudogene,61.21,1,379,NA,379,NA,NA,1
 IMPDH1P2,ENSG00000214045,NA,processed_pseudogene,Human,X,40.359183,inosine monophosphate dehydrogenase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33957],57.97,1,1544,NA,1544,NA,NA,1
 YWHAZP10,ENSG00000217624,NA,processed_pseudogene,Human,X,41.67576,YWHAZ pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:54939],42.86,1,735,NA,735,NA,NA,1
 HMGN1P35,ENSG00000172186,NA,processed_pseudogene,Human,X,69.174124,high mobility group nucleosome binding domain 1 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:39379],41.41,1,594,NA,594,NA,NA,1
 ,ENSG00000237717,NA,processed_pseudogene,Human,X,71.744828,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene",46.8,1,250,NA,250,NA,NA,1
 DPRXP7,ENSG00000271464,NA,processed_pseudogene,Human,X,112.319952,divergent-paired related homeobox pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:32173],41.85,1,466,NA,466,NA,NA,1
 H3P47,ENSG00000179101,NA,processed_pseudogene,Human,X,123.514473,H3 histone pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:54475],53,1,400,NA,400,NA,NA,1
 HNRNPH1P2,ENSG00000213924,NA,processed_pseudogene,Human,X,143.677153,heterogeneous nuclear ribonucleoprotein H1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48810],42.98,1,1210,NA,1210,NA,NA,1
 HMGN2P48,ENSG00000229979,NA,processed_pseudogene,Human,X,153.05215,high mobility group nucleosomal binding domain 2 pseudogene 48 [Source:HGNC Symbol;Acc:HGNC:55157],47.73,1,264,NA,264,NA,NA,1
 WRAP73,ENSG00000116213,49856,protein_coding,Human,1,3.630767,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]",55.25,10,21995,949,1464,69,418,6
 UTS2,ENSG00000049247,10911,protein_coding,Human,1,7.843083,urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636],40.81,3,10430,405,871,111,507,5
 TARDBP,ENSG00000120948,23435,protein_coding,Human,1,11.012344,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571],43.2,38,18185,576,985,47,351,5
 NPPB,ENSG00000120937,4879,protein_coding,Human,1,11.857464,natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940],54.59,1,1482,405,708,112,191,3
 E2F2,ENSG00000007968,1870,protein_coding,Human,1,23.506438,E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114],51.65,2,24796,1314,2873,440,3442,4
 MAN1C1,ENSG00000117643,57134,protein_coding,Human,1,25.616791,mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080],48.63,8,169416,1385,2440,523,820,8
 AUNIP,ENSG00000127423,79000,protein_coding,Human,1,25.831913,aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363],42.54,3,27546,1095,1338,100,581,3
 STMN1,ENSG00000117632,3925,protein_coding,Human,1,25.884181,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510],48.24,9,22811,430,1328,118,555,4
 FAM76A,ENSG00000009780,199870,protein_coding,Human,1,27.725961,family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530],43.38,7,37156,807,1584,65,1009,8
 CLSPN,ENSG00000092853,63967,protein_coding,Human,1,35.720218,claspin [Source:HGNC Symbol;Acc:HGNC:19715],42.79,6,49761,3927,3756,80,1310,18
 CDCA8,ENSG00000134690,55143,protein_coding,Human,1,37.692481,cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629],45.77,2,17239,843,2337,116,1350,10
 GUCA2B,ENSG00000044012,2981,protein_coding,Human,1,42.15341,guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683],59.98,1,2411,339,604,41,224,3
 CDC20,ENSG00000117399,991,protein_coding,Human,1,43.358981,cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723],52.17,4,4223,1500,1151,120,74,7
 KIF2C,ENSG00000142945,11004,protein_coding,Human,1,44.739818,kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393],49.08,8,27950,1277,1315,152,588,11
 RAD54L,ENSG00000085999,8438,protein_coding,Human,1,46.246461,RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826],46.88,21,32020,733,1118,186,143,8
 ZYG11A,ENSG00000203995,440590,protein_coding,Human,1,52.842511,"zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]",43.56,3,52488,1596,4023,185,1658,14
 NDC1,ENSG00000058804,55706,protein_coding,Human,1,53.765478,NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525],40.2,2,72986,2025,2668,35,2492,12
 LRRC42,ENSG00000116212,115353,protein_coding,Human,1,53.946085,leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792],43.07,5,22084,967,1197,91,229,6
 LRRC53,ENSG00000162621,105378803,protein_coding,Human,1,74.469376,leucine rich repeat containing 53 [Source:HGNC Symbol;Acc:HGNC:25255],37.58,1,43236,3744,4358,56,502,5
 C1orf52,ENSG00000162642,148423,protein_coding,Human,1,85.249953,chromosome 1 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:24871],39.66,4,9720,526,1945,29,2676,4
 ZNHIT6,ENSG00000117174,54680,protein_coding,Human,1,85.649417,zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089],36.47,2,59017,1354,6142,149,4638,10
 COL24A1,ENSG00000171502,255631,protein_coding,Human,1,85.729233,collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821],36.41,5,427711,2140,3279,268,514,26
 ODF2L,ENSG00000122417,57489,protein_coding,Human,1,86.346824,outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225],34.88,32,49519,927,1908,142,868,11
 GLMN,ENSG00000174842,11146,protein_coding,Human,1,92.246402,"glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]",38,6,52586,1166,1134,46,113,10
 GCLM,ENSG00000023909,2730,protein_coding,Human,1,93.885199,glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312],36.37,4,24258,792,2275,280,2874,5
 FRRS1,ENSG00000156869,391059,protein_coding,Human,1,99.70397,ferric chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622],38.2,5,62666,1830,2322,184,2626,9
 SASS6,ENSG00000156876,163786,protein_coding,Human,1,100.083563,SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403],36.48,2,49393,1974,3910,116,1758,16
 RTCA,ENSG00000137996,8634,protein_coding,Human,1,100.266216,RNA 3'-terminal phosphate cyclase [Source:HGNC Symbol;Acc:HGNC:17981],39.06,5,26554,797,1202,125,611,7
 COL11A1,ENSG00000060718,1301,protein_coding,Human,1,102.876467,collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186],33.18,14,232406,3151,3462,296,604,33
 GNAI3,ENSG00000065135,2773,protein_coding,Human,1,109.548615,G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387],38.65,1,51581,1065,9044,106,3936,9
 FAM72B,ENSG00000188610,653820,protein_coding,Human,1,121.167646,family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805],41.53,7,17894,376,1157,472,565,4
 FCGR1A,ENSG00000150337,2209,protein_coding,Human,1,149.782671,Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613],42.01,4,9005,924,858,62,158,4
 VPS45,ENSG00000136631,11311,protein_coding,Human,1,150.067279,vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579],39.17,47,78051,1428,2270,102,467,13
 APH1A,ENSG00000117362,51107,protein_coding,Human,1,150.265399,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]",53.83,9,4182,645,1100,328,858,4
 LYSMD1,ENSG00000163155,388695,protein_coding,Human,1,151.159748,LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070],46.07,2,6201,612,1732,405,716,3
 PIP5K1A,ENSG00000143398,8394,protein_coding,Human,1,151.197949,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994],45.21,17,51588,986,1409,338,1163,7
 CHTOP,ENSG00000160679,26097,protein_coding,Human,1,153.633982,chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511],44.38,7,12325,552,1986,149,1079,4
 SNAPIN,ENSG00000143553,23557,protein_coding,Human,1,153.658703,SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145],50.6,4,3150,411,943,41,551,3
 ILF2,ENSG00000143621,3608,protein_coding,Human,1,153.661788,interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037],44.32,5,9241,758,1194,59,476,9
 DENND4B,ENSG00000198837,9909,protein_coding,Human,1,153.929501,DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044],56.5,13,17218,2896,1397,173,796,6
 CRTC2,ENSG00000160741,200186,protein_coding,Human,1,153.947669,CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301],53.18,10,10947,1204,1379,104,348,7
 CKS1B,ENSG00000173207,1163,protein_coding,Human,1,154.974653,CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083],44.4,7,4599,212,773,126,499,3
 IQGAP3,ENSG00000183856,128239,protein_coding,Human,1,156.525405,IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669],50.86,4,47200,4832,3164,47,643,20
 IGSF9,ENSG00000085552,57549,protein_coding,Human,1,159.927039,immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132],55.8,5,18575,3516,3942,103,305,16
 NDUFS2,ENSG00000158864,4720,protein_coding,Human,1,161.197104,NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708],49.67,90,17620,924,2133,109,192,12
 SDHC,ENSG00000143252,6391,protein_coding,Human,1,161.314381,succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682],42.31,8,48826,339,711,21,337,5
 FCGR2A,ENSG00000143226,2212,protein_coding,Human,1,161.50543,Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616],43.82,17,18584,625,1201,35,858,4
 FCGR3A,ENSG00000203747,2214,protein_coding,Human,1,161.541759,Fc gamma receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619],45.02,14,9210,705,1889,87,1205,6
 DUSP12,ENSG00000081721,11266,protein_coding,Human,1,161.749758,dual specificity phosphatase 12 [Source:HGNC Symbol;Acc:HGNC:3067],39.87,5,7481,525,875,39,183,4
 NUF2,ENSG00000143228,83540,protein_coding,Human,1,163.266576,NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621],36.44,12,89189,875,1010,112,233,8
 TADA1,ENSG00000152382,117143,protein_coding,Human,1,166.85651,transcriptional adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30631],40.88,2,19755,1008,2318,31,1057,6
 DCAF6,ENSG00000143164,55827,protein_coding,Human,1,167.935783,DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002],35.91,12,140061,2453,1824,255,437,11
 C1orf112,ENSG00000000460,55732,protein_coding,Human,1,169.662007,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565],39.22,9,192074,1032,2431,87,366,17
 ARPC5,ENSG00000162704,10092,protein_coding,Human,1,183.620846,actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708],38.43,5,14938,443,2993,82,2650,3
 TSEN15,ENSG00000198860,116461,protein_coding,Human,1,184.051651,tRNA splicing endonuclease subunit 15 [Source:HGNC Symbol;Acc:HGNC:16791],38.96,20,72328,397,1532,50,826,5
 RGS1,ENSG00000090104,5996,protein_coding,Human,1,192.575763,regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991],33.81,6,4262,570,1165,20,603,3
 UCHL5,ENSG00000116750,51377,protein_coding,Human,1,193.01225,ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678],35,13,47831,767,1645,117,1005,8
 ASPM,ENSG00000066279,259266,protein_coding,Human,1,197.084121,assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048],34.66,8,62574,8216,6429,240,204,21
 KIF14,ENSG00000118193,9928,protein_coding,Human,1,200.551497,kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181],37.83,2,69255,4947,7064,228,1890,30
 TIMM17A,ENSG00000134375,10440,protein_coding,Human,1,201.955503,translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315],42.3,4,15162,516,1414,24,1110,5
 UBE2T,ENSG00000077152,29089,protein_coding,Human,1,202.331544,ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009],40.7,12,10441,449,1012,64,163,6
 TMEM183A,ENSG00000163444,92703,protein_coding,Human,1,203.007374,transmembrane protein 183A [Source:HGNC Symbol;Acc:HGNC:20173],41.51,5,17475,1131,1206,92,1808,5
 YOD1,ENSG00000180667,55432,protein_coding,Human,1,207.043849,YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035],39.45,2,9132,981,6344,140,5171,3
 NEK2,ENSG00000117650,4751,protein_coding,Human,1,211.658657,NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745],39.5,5,16974,1220,1356,124,643,6
 DTL,ENSG00000143476,51514,protein_coding,Human,1,212.035553,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],38.44,6,71848,2130,2400,240,2070,8
 CENPF,ENSG00000117724,1063,protein_coding,Human,1,214.603195,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857],40.92,5,61377,9345,2697,84,777,6
 GPATCH2,ENSG00000092978,55105,protein_coding,Human,1,217.426992,G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25499],36.36,5,204099,1359,2115,115,3064,5
 RRP15,ENSG00000067533,51018,protein_coding,Human,1,218.285293,ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255],37.63,2,52691,849,4128,24,6892,4
 BPNT1,ENSG00000162813,10380,protein_coding,Human,1,220.057482,"3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]",40.42,11,32981,663,1324,91,1125,7
 IARS2,ENSG00000067704,55699,protein_coding,Human,1,220.094132,"isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]",39.19,4,53910,3039,1301,85,406,9
 MARK1,ENSG00000116141,4139,protein_coding,Human,1,220.528136,microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896],37.11,18,136326,1791,3794,458,1756,12
 MTARC2,ENSG00000117791,54996,protein_coding,Human,1,220.748225,mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:HGNC:26064],44.02,6,36591,646,962,260,228,4
 ENAH,ENSG00000154380,55740,protein_coding,Human,1,225.486765,ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271],38.55,10,166378,1560,5000,189,6773,9
 SRP9,ENSG00000143742,6726,protein_coding,Human,1,225.777813,signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304],40.6,9,12656,215,852,94,590,3
 LIN9,ENSG00000183814,286826,protein_coding,Human,1,226.231149,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830],39.7,6,78721,1336,2544,184,1153,13
 RHOU,ENSG00000116574,58480,protein_coding,Human,1,228.735479,ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794],45.48,1,11186,777,3965,264,2924,3
 CCSAP,ENSG00000154429,126731,protein_coding,Human,1,229.321011,"centriole, cilia and spindle associated protein [Source:HGNC Symbol;Acc:HGNC:29578]",43.58,4,22284,699,4549,117,4055,4
 C1orf198,ENSG00000119280,84886,protein_coding,Human,1,230.837119,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900],47.8,7,32471,652,2064,90,2107,4
 TSNAX,ENSG00000116918,7257,protein_coding,Human,1,231.528541,translin associated factor X [Source:HGNC Symbol;Acc:HGNC:12380],37.77,5,37984,682,2038,206,1619,5
 IRF2BP2,ENSG00000168264,359948,protein_coding,Human,1,234.604269,interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729],52.08,3,5910,1740,3538,358,2868,2
